timestamp,filename,folder_type,batch_number,lines_count,file_size_bytes,file_size_kb,processing_duration_sec,status
2025-10-27 00:46:08,f_batch1.txt,filtered_batches,1,10,2708,2.64,2.204,success
2025-10-27 00:46:28,r_batch1.txt,raw_batches,1,3,1226,1.2,2.229,success
2025-10-27 00:47:18,f_batch2.txt,filtered_batches,2,7,2396,2.34,2.016,success
2025-10-27 00:47:58,r_batch2.txt,raw_batches,2,4,2412,2.36,2.029,success
2025-10-27 00:48:29,f_batch3.txt,filtered_batches,3,17,5742,5.61,1.995,success
2025-10-27 00:49:29,r_batch3.txt,raw_batches,3,10,7543,7.37,1.846,success
2025-10-27 00:49:39,f_batch4.txt,filtered_batches,4,8,5979,5.84,1.832,success
2025-10-27 00:50:49,f_batch5.txt,filtered_batches,5,20,6977,6.81,1.796,success
2025-10-27 00:51:00,r_batch4.txt,raw_batches,4,10,4997,4.88,2.202,success
2025-10-27 00:51:59,f_batch6.txt,filtered_batches,6,8,3954,3.86,2.453,success
2025-10-27 00:52:30,r_batch5.txt,raw_batches,5,8,4223,4.12,2.152,success
2025-10-27 00:53:10,f_batch7.txt,filtered_batches,7,12,3285,3.21,2.495,success
2025-10-27 00:54:00,r_batch6.txt,raw_batches,6,8,3532,3.45,2.212,success
2025-10-27 00:54:20,f_batch8.txt,filtered_batches,8,17,5075,4.96,2.063,success
2025-10-27 00:55:30,r_batch7.txt,raw_batches,7,12,5941,5.8,2.097,success
2025-10-27 00:55:34,f_batch9.txt,filtered_batches,9,20,7492,7.32,3.222,success
2025-10-27 00:56:44,f_batch10.txt,filtered_batches,10,15,6860,6.7,2.183,success
2025-10-27 00:57:00,r_batch8.txt,raw_batches,8,9,4610,4.5,2.131,success
2025-10-27 00:57:56,f_batch11.txt,filtered_batches,11,14,6492,6.34,3.425,success
2025-10-27 00:58:33,r_batch9.txt,raw_batches,9,9,5131,5.01,3.422,success
2025-10-27 00:59:11,f_batch12.txt,filtered_batches,12,12,3502,3.42,7.138,success
2025-10-27 01:00:10,r_batch10.txt,raw_batches,10,9,3796,3.71,6.731,success
2025-10-27 01:00:22,f_batch13.txt,filtered_batches,13,10,3406,3.33,7.283,success
2025-10-27 01:01:34,f_batch14.txt,filtered_batches,14,13,5656,5.52,8.051,success
2025-10-27 01:01:43,r_batch11.txt,raw_batches,11,7,4254,4.15,8.051,success
2025-10-27 01:02:42,f_batch15.txt,filtered_batches,15,16,6673,6.52,6.292,success
2025-10-27 01:03:13,r_batch12.txt,raw_batches,12,10,7856,7.67,6.442,success
2025-10-27 01:03:52,f_batch16.txt,filtered_batches,16,13,6588,6.43,6.404,success
2025-10-27 01:04:42,r_batch13.txt,raw_batches,13,9,4611,4.5,4.96,success
2025-10-27 01:05:00,f_batch17.txt,filtered_batches,17,11,3491,3.41,3.601,success
2025-10-27 01:06:10,f_batch18.txt,filtered_batches,18,16,6890,6.73,3.125,success
2025-10-27 01:06:14,r_batch14.txt,raw_batches,14,10,5637,5.5,3.056,success
2025-10-27 01:07:21,f_batch19.txt,filtered_batches,19,12,4837,4.72,3.268,success
2025-10-27 01:07:44,r_batch15.txt,raw_batches,15,7,4601,4.49,3.083,success
2025-10-27 01:08:31,f_batch20.txt,filtered_batches,20,12,3831,3.74,3.185,success
2025-10-27 01:09:15,r_batch16.txt,raw_batches,16,6,2975,2.91,3.115,success
2025-10-27 01:09:41,f_batch21.txt,filtered_batches,21,16,6863,6.7,3.521,success
2025-10-27 01:10:56,r_batch17.txt,raw_batches,17,10,6378,6.23,3.221,success
2025-10-27 01:10:59,f_batch22.txt,filtered_batches,22,16,6168,6.02,2.991,success
2025-10-28 10:54:37,f_batch23.txt,filtered_batches,23,18,9125,8.91,4.877,success
2025-10-28 10:54:55,r_batch18.txt,raw_batches,18,11,8276,8.08,3.458,success
2025-10-28 10:55:46,f_batch24.txt,filtered_batches,24,16,6878,6.72,3.005,success
2025-10-28 10:56:25,r_batch19.txt,raw_batches,19,9,6140,6.0,3.079,success
2025-10-28 10:56:56,f_batch25.txt,filtered_batches,25,15,5887,5.75,3.249,success
2025-10-28 10:57:56,r_batch20.txt,raw_batches,20,9,5272,5.15,3.628,success
2025-10-28 10:58:07,f_batch26.txt,filtered_batches,26,15,6120,5.98,3.278,success
2025-10-28 10:59:18,f_batch27.txt,filtered_batches,27,15,4253,4.15,3.361,success
2025-10-28 10:59:26,r_batch21.txt,raw_batches,21,8,3698,3.61,3.278,success
2025-10-28 11:00:28,f_batch28.txt,filtered_batches,28,13,5675,5.54,3.228,success
2025-10-28 11:00:59,r_batch22.txt,raw_batches,22,9,4759,4.65,3.254,success
2025-10-28 11:01:38,f_batch29.txt,filtered_batches,29,9,2511,2.45,3.544,success
2025-10-28 11:02:30,r_batch23.txt,raw_batches,23,11,6968,6.8,3.595,success
2025-10-28 11:02:54,f_batch30.txt,filtered_batches,30,14,7814,7.63,5.603,success
2025-10-28 11:04:01,r_batch24.txt,raw_batches,24,7,2924,2.86,3.99,success
2025-10-28 11:04:05,f_batch31.txt,filtered_batches,31,12,3866,3.78,2.891,success
2025-10-28 11:05:16,f_batch32.txt,filtered_batches,32,16,6691,6.53,3.097,success
2025-10-28 11:05:30,r_batch25.txt,raw_batches,25,10,6130,5.99,2.95,success
2025-10-28 11:06:29,f_batch33.txt,filtered_batches,33,17,6054,5.91,3.943,success
